ofi_insc;prov_insc;cant_insc;parr_insc;anio_insc;mes_insc;dia_insc;fecha_insc;anio_div;mes_div;dia_div;fecha_div;anio_mat;mes_mat;dia_mat;fecha_mat;mcapbie;dur_mat;cau_div;nac_hom;cod_paish;anio_nach;mes_nach;dia_nach;fecha_nach;edad_hom;hijos_hom;p_etnica_hom;sabe_leerh;niv_insth;prov_habh;cant_habh;parr_habh;area_hom;nac_muj;cod_paism;anio_nacm;mes_nacm;dia_nacm;fecha_nacm;edad_muj;hijos_muj;p_etnica_muj;sabe_leerm;niv_instm;prov_habm;cant_habm;parr_habm;area_muj
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;18;1/18/2016;2015;Diciembre;11;12/11/2015;2006;Agosto;7;08/07/2006;No;9;10;Ecuatoriano;EC;1976;5;1;05/01/1976;39;0;Mestizo;Si;Superior;Loja;Loja;San Lucas;Rural;Ecuatoriana;EC;1977;4;4;04/04/1977;38;1;Mestiza;Si;Secundaria;Loja;Loja;San Lucas;Rural
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;17;2/17/2016;2015;Diciembre;15;12/15/2015;1997;Junio;12;06/12/1997;Se ignora;18;1;Ecuatoriano;EC;1971;1;6;01/06/1971;45;0;Mestizo;Si;Primaria;Loja;Catamayo;Zambi;Rural;Ecuatoriana;EC;1979;1;7;01/07/1979;37;4;Mestiza;Si;Primaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Marzo;30;3/30/2016;2015;Diciembre;16;12/16/2015;2011;Junio;27;6/27/2011;No;4;10;Ecuatoriano;EC;1980;4;27;4/27/1980;35;0;Mestizo;Si;Primaria;Loja;Puyango;Alamor, cabecera cantonal;Urbana;Ecuatoriana;EC;1983;2;14;2/14/1983;33;2;Mestiza;Si;Secundaria;Loja;Puyango;Alamor, cabecera cantonal;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;7;01/07/2016;2015;Diciembre;21;12/21/2015;2004;Noviembre;5;11/05/2004;No;11;1;Ecuatoriano;EC;1981;10;24;10/24/1981;34;0;Mestizo;Si;Superior;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1983;12;19;12/19/1983;32;2;Mestiza;Si;Superior;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;12;01/12/2016;2015;Diciembre;23;12/23/2015;2002;Septiembre;13;9/13/2002;No;13;1;Ecuatoriano;EC;1982;8;6;08/06/1982;33;0;Mestizo;Si;Primaria;Guayas;Duran;Eloy Alfaro (Duran), cabecera cantonal;Urbana;Ecuatoriana;EC;1984;5;8;05/08/1984;31;1;Mestiza;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;17;2/17/2016;2015;Diciembre;16;12/16/2015;2002;Noviembre;15;11/15/2002;Se ignora;13;1;Ecuatoriano;EC;1982;8;27;8/27/1982;33;0;Mestizo;Si;Ciclo posbachillerato;Loja;Saraguro;Saraguro, cabecera cantonal;Urbana;Ecuatoriana;EC;1984;6;6;06/06/1984;31;2;Mestiza;Si;Primaria;Loja;Saraguro;Saraguro, cabecera cantonal;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;8;01/08/2016;2015;Diciembre;14;12/14/2015;2009;Diciembre;24;12/24/2009;No;6;1;Ecuatoriano;EC;1987;10;1;10/01/1987;28;0;Mestizo;Si;Ciclo posbachillerato;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1986;5;6;05/06/1986;29;1;Mestiza;Si;Ciclo postbachillerato;Loja;Loja;Valle;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;14;1/14/2016;2015;Diciembre;16;12/16/2015;2010;Enero;14;1/14/2010;No;6;1;Ecuatoriano;EC;1987;12;29;12/29/1987;28;0;Mestizo;Si;Superior;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1989;2;26;2/26/1989;26;2;Mestiza;Si;Secundaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;18;1/18/2016;2015;Diciembre;9;12/09/2015;2010;Mayo;13;5/13/2010;No;5;10;Ecuatoriano;EC;1986;7;19;7/19/1986;29;0;Mestizo;Si;Superior;Zamora Chinchipe;Zamora;Zamora;Urbana;Ecuatoriana;EC;1985;11;4;11/04/1985;30;1;Mestiza;Si;Superior;Loja;Loja;Valle;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Junio;10;06/10/2016;2015;Diciembre;18;12/18/2015;2006;Abril;6;04/06/2006;Se ignora;10;10;Ecuatoriano;EC;1984;9;17;9/17/1984;31;0;Mestizo;Si;Secundaria;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1987;2;8;02/08/1987;29;2;Mestiza;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
